lead,method,k,macro_f1_mean,macro_f1_std,n_folds
aVR,ClusterPrototype,2.25,0.41460321275255935,0.052665653442832784,5
aVR,ClusterPrototype,2.5,0.36517629978876653,0.03316974808142885,5
aVR,PCA_LogisticRegression,0.75,0.4023086278617079,0.014080636546754911,5
aVR,PCA_LogisticRegression,1.25,0.4285576221572286,0.020981124702872972,5
aVR,PCA_LogisticRegression,1.75,0.4155698320994385,0.03336336117297112,5
aVR,PCA_LogisticRegression,2.25,0.39388287169464864,0.02280575325664498,5
aVR,PCA_LogisticRegression,2.5,0.3672513213408855,0.02613729930581124,5
V2,NearestCentroid,0.75,0.396359624206459,0.022254105255291732,5
V2,NearestCentroid,1.25,0.4472715734879821,0.068650227247019,5
V2,NearestCentroid,1.75,0.47613586178761513,0.04452487543866349,5
V2,NearestCentroid,2.25,0.46051899838950583,0.026285595583833896,5
V2,NearestCentroid,2.5,0.4447715699205932,0.02452264815980225,5
V2,RandomForest,0.75,0.5866525065668023,0.04243492202412532,5
V2,RandomForest,1.25,0.6076587569393281,0.030464700719680462,5
V2,RandomForest,1.75,0.593584052813367,0.038910333284206275,5
V2,RandomForest,2.25,0.5419247675202747,0.05300408802088501,5
V2,RandomForest,2.5,0.517540909537541,0.05475397803689523,5
V2,DecisionTree,0.75,0.5096206103812158,0.014111727813574072,5
V2,DecisionTree,1.25,0.539875178846128,0.032073817059018,5
V2,DecisionTree,1.75,0.5683336770701354,0.03353549472537783,5
V2,DecisionTree,2.25,0.5155989800191099,0.01796503715696546,5
V2,DecisionTree,2.5,0.4610469994011278,0.039728871732706304,5
V2,SVM_RBF,0.75,0.4937951176199008,0.03499477003059763,5
V2,SVM_RBF,1.25,0.5095152538445544,0.013002867235527916,5
V2,SVM_RBF,1.75,0.5136137029820222,0.019170927357441782,5
V2,SVM_RBF,2.25,0.45634623719943457,0.01914222863551386,5
V2,SVM_RBF,2.5,0.4236931261284312,0.024171218698953768,5
V2,ClusterPrototype,0.75,0.396777073117483,0.03731732148264276,5
V2,ClusterPrototype,1.25,0.4383172836779857,0.041488638848581026,5
V2,ClusterPrototype,1.75,0.4509798539837121,0.039470353219320076,5
V2,ClusterPrototype,2.25,0.45252701737458817,0.018903458009129924,5
V2,ClusterPrototype,2.5,0.44009699070214703,0.0515658404254179,5
V2,PCA_LogisticRegression,0.75,0.42027836393350715,0.028178965128093793,5
V2,PCA_LogisticRegression,1.25,0.4780700833431453,0.04910803579568009,5
V2,PCA_LogisticRegression,1.75,0.482841606944551,0.04503693757979446,5
V2,PCA_LogisticRegression,2.25,0.4592385798840738,0.03157586254865591,5
V2,PCA_LogisticRegression,2.5,0.4346723332599721,0.04120147285448629,5
V6,NearestCentroid,0.75,0.3641495861909382,0.07440661465729248,5
V6,NearestCentroid,1.25,0.4343913689500978,0.045053468131762954,5
V6,NearestCentroid,1.75,0.44201389440624406,0.03362899296302849,5
V6,NearestCentroid,2.25,0.4046332644573554,0.04321691829283195,5
V6,NearestCentroid,2.5,0.38916592431532937,0.04973389751455391,5
V6,RandomForest,0.75,0.5253774323997341,0.04145539132880118,5
V6,RandomForest,1.25,0.5418432143486848,0.039971621083958214,5
V6,RandomForest,1.75,0.5422793633381925,0.04077948010707077,5
V6,RandomForest,2.25,0.49627133495820563,0.04058337114868094,5
V6,RandomForest,2.5,0.4611904742707062,0.035453090458838765,5
V6,DecisionTree,0.75,0.4716267094539156,0.02075059398451228,5
V6,DecisionTree,1.25,0.5020836884576261,0.02508800802115724,5
V6,DecisionTree,1.75,0.5184729684345777,0.04142373397236292,5
V6,DecisionTree,2.25,0.45407192071081903,0.04410820685945063,5
V6,DecisionTree,2.5,0.4175250837590697,0.06730627421722707,5
V6,SVM_RBF,0.75,0.49295189405402445,0.041762998733071176,5
V6,SVM_RBF,1.25,0.5306498836855436,0.03757522533413039,5
V6,SVM_RBF,1.75,0.4970082949808302,0.04082845932982562,5
V6,SVM_RBF,2.25,0.4683477329388562,0.025291488343145242,5
V6,SVM_RBF,2.5,0.4354851239782703,0.0321176224585583,5
V6,ClusterPrototype,0.75,0.4256528219528226,0.029597345680931295,5
V6,ClusterPrototype,1.25,0.4440077310091688,0.03624513776230479,5
V6,ClusterPrototype,1.75,0.4313656049088325,0.03625388300396071,5
V6,ClusterPrototype,2.25,0.40601172036441174,0.014614151593813424,5
V6,ClusterPrototype,2.5,0.3751847488874338,0.04874847918841181,5
V6,PCA_LogisticRegression,0.75,0.45675831311867976,0.03044688634549098,5
V6,PCA_LogisticRegression,1.25,0.473066066824417,0.038409490457703074,5
V6,PCA_LogisticRegression,1.75,0.46372056865579153,0.029113162109630806,5
V6,PCA_LogisticRegression,2.25,0.4250559785099036,0.018214464175735145,5
V6,PCA_LogisticRegression,2.5,0.3976850784282812,0.043920737778014175,5
