lead,A_baseline_mean,B_regularized_mean,C_regularized_classenv_mean,A_baseline_std,B_regularized_std,C_regularized_classenv_std
LeadI,0.21669739338513277,0.2224047076929442,0.21743738044379585,0.019821791710404338,0.02642558049996668,0.022807026371967857
aVR,0.31713395270839495,0.3175153119473427,0.3081895389514026,0.04466724753049219,0.03606129274685074,0.0377547931030965
V2,0.31626050690015034,0.3104026948562031,0.2797350592639219,0.08628679571206276,0.08499386446126904,0.0686569206645106
V6,0.28866955693604474,0.29533140193878554,0.2701389659253407,0.045583282427325775,0.045912939768000496,0.034117192357340495
