lead,baseline_f1_mean,baseline_f1_std,regularized_f1_mean,regularized_f1_std,baseline_depth_mean,regularized_depth_mean
LeadI,0.26104869911479645,0.042247104821649874,0.2593709381770579,0.02369042174358701,104.922,12.0
aVR,0.17462323795371035,0.01811804852902986,0.16963386909770492,0.01868578957815113,101.73400000000001,12.0
V2,0.25277823469573324,0.03723057135607863,0.26573014142156115,0.06055220091023169,60.85600000000001,12.0
V6,0.25708895804923404,0.04295951938974666,0.2677025260425282,0.04220659470204007,65.376,12.0
