lead,k,f1_static,f1_dynamic_rr,delta
LeadI,1.25,0.31393603976070816,0.3174121520395503,0.0034761122788421472
aVR,1.5,0.41879883218560127,0.41715930667518053,-0.0016395255104207362
V2,1.25,0.5839207433049022,0.57948256693104,-0.004438176373862124
V6,1.25,0.5182233508952387,0.5045066081136028,-0.013716742781635927
